0.21	0.76
0.17	0.6
0.2	0.66
0.17	0.65
0.16	0.64
0.25	0.66
0.18	0.64
0.21	0.69
0.16	0.66
0.19	0.62
0.16	0.67
0.17	0.56
0.18	0.64
0.16	0.66
0.18	0.57
0.18	0.6
0.17	0.55
0.22	0.65
0.19	0.66
0.19	0.63
0.2	0.53
0.26	0.67
0.15	0.67
0.21	0.54
0.2	0.64
0.17	0.59
0.18	0.6
0.19	0.57
0.18	0.62
0.21	0.64
0.2	0.6
0.17	0.6
0.23	0.62
0.16	0.58
0.17	0.69
0.2	0.56
0.17	0.6
0.22	0.58
0.19	0.69
0.2	0.56
0.19	0.61
0.2	0.57
0.18	0.62
0.2	0.66
0.19	0.66
0.25	0.7
0.16	0.6
0.14	0.65
0.19	0.55
0.17	0.6
0.18	0.66
0.19	0.58
0.18	0.71
0.22	0.63
0.17	0.58
0.22	0.64
0.22	0.59
0.15	0.67
0.15	0.64
0.2	0.61
0.16	0.57
