-nan		0
-nan		0
-nan		0
-nan		0
750		8767
3354.17		10025
-nan		0
-nan		0
-nan		0
1107.14		29522
901.976		73364
62.5		0
-nan		0
-nan		0
-nan		0
193.182		9528
-nan		0
-nan		0
-nan		0
-nan		0
2000		8962
-nan		0
-nan		0
-nan		0
-nan		0
250		7547
-nan		0
-nan		0
-nan		0
-nan		0
3431.82		9399
398.387		29840
95.2565		76477
71.468		15220
-nan		0
2050		12815
805.556		1895
165.688		89436
9.23526		51153
4.44543		36933
4.5425		46627
2.70845		25975
4.39496		38178
4.29947		36666
4.06559		34020
12.3902		79987
311.024		96980
477.961		88046
54.5043		48605
-nan		0
3468.75		7000
1641.67		12225
-nan		0
-nan		0
-nan		0
-nan		0
3159.09		8649
-nan		0
-nan		0
-nan		0
-nan		0
5600		6912
