-nan		0
-nan		0
-nan		0
175		2695
25.1919		6351
2541.67		15282
-nan		0
-nan		0
-nan		0
291.008		74041
142.931		69532
-nan		0
-nan		0
-nan		0
-nan		0
2133.93		14973
-nan		0
-nan		0
-nan		0
69.8177		18033
65.9885		61847
11.381		61322
11.7533		65556
324.905		83506
515.449		88633
116.97		117025
102.673		82906
5.14754		43118
18.3795		78674
10.8708		56637
5.83566		66691
9.73152		16315
-nan		0
-nan		0
-nan		0
2214.29		15529
-nan		0
-nan		0
-nan		0
969.512		9545
235.005		108198
160.394		33093
103.662		84480
5.062		43424
7.55812		59968
171.604		102191
365.899		83546
249.632		82490
444.121		83746
508.159		93970
442.344		55453
-nan		0
-nan		0
-nan		0
-nan		0
2140.62		17167
1071.43		7211
642.96		53801
609.541		42793
700		50670
40.0998		84747
22.8421		58580
