85.4762	84.0476	1.42857
63.3515	36.1035	27.248
54.5939	27.9627	26.6312
57.7778	29.8039	27.9739
53.3156	25.7294	27.5862
53.6869	28.0724	25.6145
60.3896	31.6883	28.7013
56.1069	29.5165	26.5903
59.1315	26.1814	32.9502
56.0847	30.4233	25.6614
56.4036	31.3066	25.097
53.0167	28.8832	24.1335
53.6842	29.2105	24.4737
54.5108	29.9873	24.5235
61.9974	37.2244	24.773
52.6248	26.6325	25.9923
54.5216	29.882	24.6396
58.8616	29.8836	28.978
54.3949	27.2611	27.1338
58.8313	28.8181	30.0133
50.2584	26.0982	24.1602
58.9909	27.0375	31.9534
58.279	31.4211	26.8579
58.8535	30.1911	28.6624
53.9683	28.3069	25.6614
56.9032	30.1935	26.7097
53.5623	29.0076	24.5547
57.1979	32.1337	25.0643
57.5604	29.352	28.2084
56.5385	30.2564	26.2821
52.0725	28.1088	23.9637
53.4943	29.9873	23.507
56.8153	23.3121	33.5032
58.7156	26.8676	31.848
52.2606	28.7234	23.5372
56.0311	30.0908	25.9403
56.1518	28.2723	27.8796
57.9487	29.2308	28.7179
54.1393	29.0407	25.0986
52.4439	27.4769	24.967
54.1223	27.2606	26.8617
52.7814	25.4851	27.2962
58.8235	29.8128	29.0107
56.1198	29.9479	26.1719
55.1151	29.4118	25.7033
51.178	27.356	23.822
49.9355	25.5484	24.3871
57.599	27.2031	30.3959
53.7353	26.8676	26.8676
59.3955	30.6176	28.7779
57.1613	29.2903	27.871
62.649	33.7748	28.8742
55.277	27.8364	27.4406
56.0209	29.1885	26.8325
54.2199	28.9003	25.3197
57.5325	31.039	26.4935
57.8811	32.1705	25.7106
55.3687	29.8836	25.4851
61.3514	32.027	29.3243
51.4575	28.8973	22.5602
49.8094	23.507	26.3024
58.1274	32.7698	25.3576
