0.3	0.36
0.14	1.35
0.12	1.45
0.13	1.49
0.13	1.5
0.17	1.41
0.14	1.46
0.15	1.51
0.11	1.44
0.12	1.21
0.16	1.31
0.13	1.12
0.16	1.16
0.13	1.06
0.11	1.09
0.16	1.08
0.13	1.09
0.16	1.06
0.12	1.06
0.13	1.19
0.16	1.11
0.12	1.05
0.13	1.02
0.08	1.15
0.16	1.21
0.13	1.1
0.13	1.13
0.16	1.18
0.13	1.2
0.12	1.1
0.18	1.06
0.16	0.97
0.12	1.07
0.15	1.13
0.15	0.99
0.13	1.01
0.1	1.15
0.14	1.25
0.13	1.03
0.13	1.16
0.17	1.14
0.14	1.15
0.14	0.99
0.12	1.2
0.18	1.07
0.12	1.09
0.09	1.24
0.11	1.15
0.11	1.23
0.17	1.16
0.11	1.15
0.15	1.31
0.12	1.34
0.13	1.11
0.15	1.12
0.16	1.17
0.13	1.04
0.15	1.26
0.09	1.03
0.14	1.14
0.12	1.09
0.11	1.34
