-nan		0
-nan		0
-nan		0
-nan		0
-nan		0
7750		1779
-nan		0
-nan		0
-nan		0
-nan		0
187.5		2739
-nan		0
-nan		0
-nan		0
-nan		0
235.075		3866
-nan		0
-nan		0
-nan		0
-nan		0
317.073		6447
49.82		1504
43.7797		387
16.147		0
-nan		0
1833.33		26241
-nan		0
1994.19		64712
-nan		0
2159.66		64699
-nan		0
-nan		0
159.449		64766
208.228		70
-nan		0
-nan		0
85.4234		8669
50.94		46061
-nan		0
229.303		64718
188.682		8
2281.25		14001
209.489		62667
182.679		6324
389.284		64709
239.124		128
-nan		0
1475.93		50506
151.342		14290
122.843		28
1735.29		7500
179.036		57285
136.129		30
-nan		0
422.101		15001
113.76		49741
44.3318		19
139.283		59
375.317		23261
165.674		40874
67.9771		35886
-nan		0
