0.13	1.47
0.19	1.49
0.16	1.63
0.14	1.6
0.15	1.32
0.21	1.3
0.16	1.42
0.18	1.57
0.34	2.14
0.16	1.58
0.14	1.5
0.16	1.42
0.16	1.27
0.13	1.13
0.19	1.09
0.17	1.11
0.18	1.05
0.15	1.07
0.2	1.2
0.18	1.11
0.14	1.18
0.2	1.25
0.15	1.13
0.17	1.13
0.2	1.16
0.21	1.23
0.13	1.14
0.13	1.18
0.18	1.15
0.18	1.2
0.17	1.08
0.17	1.16
0.19	1.2
0.22	1.18
0.25	1.07
0.18	1.19
0.17	1.34
0.19	1.12
0.21	1.16
0.16	1.32
0.13	1.38
0.23	1.24
0.15	1.25
0.18	1.31
0.2	1.34
0.21	1.23
0.19	1.21
0.24	1.24
0.17	1.27
0.17	1.27
0.15	1.16
0.2	1.43
0.2	1.47
0.18	1.08
0.14	1.36
0.15	1.31
0.17	1.25
0.21	1.23
0.18	1.39
0.19	1.32
0.14	1.52
