0.1	0.51
0.13	0.48
0.11	0.42
0.15	0.44
0.13	0.5
0.13	0.43
0.08	0.47
0.13	0.53
0.13	0.49
0.12	0.43
0.13	0.5
0.16	0.49
0.11	0.47
0.16	0.47
0.11	0.42
0.16	0.44
0.11	0.47
0.14	0.47
0.08	0.53
0.1	0.46
0.13	0.53
0.14	0.5
0.13	0.46
0.11	0.51
0.12	0.53
0.09	0.51
0.12	0.52
0.16	0.48
0.11	0.47
0.13	0.46
0.14	0.5
0.13	0.54
0.1	0.53
0.14	0.48
0.1	0.47
0.14	0.48
0.1	0.49
0.12	0.48
0.12	0.47
0.14	0.42
0.12	0.48
0.14	0.4
0.12	0.47
0.1	0.44
0.13	0.51
0.15	0.56
0.09	0.46
0.13	0.52
0.12	0.43
0.13	0.43
0.1	0.5
0.11	0.48
0.15	0.44
0.14	0.41
0.14	0.53
0.13	0.44
0.12	0.46
0.11	0.5
0.11	0.52
0.11	0.44
0.15	0.54
