-nan		0
-nan		0
-nan		0
-nan		0
-nan		0
-nan		0
2583.33		1823
-nan		0
-nan		0
-nan		0
-nan		0
277.174		3098
-nan		0
-nan		0
-nan		0
-nan		0
222.973		4057
-nan		0
-nan		0
-nan		0
-nan		0
54.2169		10430
45.8631		370
39.656		111
-nan		0
1795		45260
268.166		19429
2074.6		64703
-nan		0
-nan		0
66.4977		64731
184.812		77
-nan		0
-nan		0
-nan		0
487.96		43306
89.9808		20533
93.4663		6509
616.538		64693
201.167		7
-nan		0
301.022		64718
270.373		42322
121.277		15175
104.533		12066
1886.75		54995
-nan		0
645.363		64694
-nan		0
-nan		0
342.219		64706
43.458		28
106.636		84
268.339		17
-nan		0
255.871		52067
-nan		0
3062.5		64707
51.4919		21
32.9709		16
49.1937		36
98.6032		15
-nan		0
