-nan		0
-nan		0
-nan		0
-nan		0
-nan		0
962		30235
-nan		0
-nan		0
2196.58		64739
inf		0
-nan		0
-nan		0
-nan		0
2502.43		64739
-nan		0
-nan		0
273.138		72952
22.6762		7
40.4004		23
203.486		12
-nan		0
355.709		48337
242.234		31262
-nan		0
-nan		0
2112.7		64739
-nan		0
-nan		0
-nan		0
2386.57		64739
-nan		0
-nan		0
-nan		0
85.435		64752
105.061		30
246.332		57
-nan		0
-nan		0
212.708		64786
310.462		37
-nan		0
-nan		0
-nan		0
220.611		62569
329.993		45
-nan		0
316.352		4884
334.237		64740
34.1772		4
125.844		10
-nan		0
293.534		14868
192.535		78528
185.658		4061
-nan		0
-nan		0
1371.01		64739
-nan		0
274.306		8691
170.386		8697
70.7929		65098
-nan		0
