9.85037	3.61596	0	6.23441
81.0157	5.68319	0	75.2116
82.716	7.16049	0	75.5556
85.5583	6.79612	0	78.7621
73.7828	4.86891	0	68.6642
80.5452	6.19579	0	74.3494
84.0826	5.71081	0	78.2503
84.5869	5.4254	0	79.1615
83.0864	6.54321	0	76.5432
30.8446	3.18237	0	27.6622
84.7518	5.67376	0	78.0142
39.2182	3.7831	0	34.3001
34.0881	3.77358	0	30.3145
49.2718	4.97573	0	44.2961
85.1449	6.52174	0	78.6232
76.6667	6.17284	0	70.4938
70.3067	5.76687	0	64.5399
82.7628	6.23472	0	76.4059
81.8071	6.34921	0	75.4579
81.2349	6.17433	0	75.0605
76.5492	5.58931	0	70.8384
56.0853	3.76412	0	52.0703
40.1009	3.657	0	35.4351
34.4569	2.99625	0	30.8365
28.8177	3.94089	0	24.2611
41.3098	3.65239	0	36.398
57.2852	4.85679	0	51.1831
50.5013	5.13784	0	43.8596
65.7534	5.72852	0	59.0286
62.6717	5.24345	0	56.4295
62.8285	5.13141	0	56.3204
51.0585	4.35866	0	45.8281
43.6954	4.36954	0	39.201
82.3096	6.01966	0	76.2899
81.531	6.43985	0	74.9696
72.3587	4.6683	0	67.5676
77.5336	5.49451	0	72.0391
82.5767	5.76687	0	76.6871
79.8544	6.31068	0	73.5437
82.8258	6.33374	0	76.4921
72.0245	5.15337	0	66.7485
65.9627	5.21739	0	60
78.8321	6.691	0	71.7762
63.9549	4.8811	0	58.3229
53.7888	5.59006	0	47.0807
56.0453	5.16373	0	49.7481
53.2338	4.47761	0	47.7612
41.7085	4.0201	0	36.6834
40.0759	3.79267	0	35.7775
33.4988	3.59801	0	29.0323
30.1115	3.34572	0	26.1462
27.875	3.25	0	23.75
36.809	3.64322	0	32.1608
32.5407	3.75469	0	27.9099
27.6035	3.51317	0	23.0866
34.5044	4.01506	0	30.1129
38.966	4.66583	0	34.174
79.2683	5.73171	0	73.5366
82.0073	5.75275	0	76.2546
81.5951	6.50307	0	74.9693
60.4908	5.39877	0	55.092
17.9874	3.14465	0	14.8428
