0.05	0.51
0.09	0.44
0.1	0.31
0.1	0.3
0.04	0.33
0.1	0.31
0.07	0.31
0.11	0.38
0.09	0.38
0.08	0.28
0.09	0.39
0.08	0.33
0.08	0.37
0.09	0.34
0.08	0.35
0.08	0.34
0.06	0.35
0.12	0.29
0.12	0.31
0.09	0.35
0.07	0.31
0.1	0.32
0.07	0.31
0.1	0.36
0.05	0.34
0.1	0.34
0.11	0.31
0.08	0.28
0.11	0.33
0.05	0.34
0.11	0.3
0.1	0.35
0.06	0.27
0.07	0.37
0.11	0.27
0.09	0.32
0.06	0.36
0.12	0.27
0.06	0.36
0.09	0.34
0.08	0.32
0.1	0.31
0.1	0.27
0.08	0.37
0.09	0.32
0.07	0.35
0.09	0.3
0.07	0.37
0.08	0.28
0.11	0.37
0.08	0.35
0.07	0.32
0.06	0.36
0.1	0.32
0.09	0.31
0.08	0.28
0.08	0.42
0.07	0.33
0.17	0.35
0.1	0.36
0.09	0.57
