0.22	0.64
1.12	7.29
0.81	5.18
0.1	0.51
0.11	0.83
0.12	0.52
0.16	0.44
0.1	0.47
0.14	0.41
0.09	0.36
0.15	0.46
0.09	0.35
0.12	0.43
0.11	0.35
0.12	0.4
0.09	0.39
0.1	0.36
0.07	0.42
0.12	0.32
0.09	0.42
0.11	0.35
0.12	0.44
0.08	0.36
0.14	0.45
0.09	0.37
0.11	0.41
0.1	0.43
0.12	0.37
0.11	0.38
0.12	0.36
0.16	0.41
0.08	0.35
0.1	0.44
0.06	0.39
0.09	0.46
0.11	0.35
0.13	0.38
0.09	0.4
0.09	0.35
0.1	0.42
0.12	0.39
0.16	0.39
0.11	0.37
0.11	0.4
0.1	0.39
0.11	0.35
0.08	0.44
0.1	0.4
0.13	0.34
0.1	0.41
0.1	0.4
0.15	0.59
0.11	0.42
0.09	0.45
0.11	0.47
0.08	0.4
0.12	0.51
0.13	0.37
0.09	0.54
0.04	0.44
0.11	0.46
0.11	0.52
0.16	0.52
